Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
Location 1,-111.252,33.296,2303,1/1/20,0,39.7,46.2,52.7
Location 1,-111.252,33.296,2303,1/2/20,0,37.2,47.1,56.9
Location 1,-111.252,33.296,2303,1/3/20,0,38.5,48.1,57.7
Location 1,-111.252,33.296,2303,1/4/20,0,37.4,47.8,58.1
Location 1,-111.252,33.296,2303,1/5/20,0,38.9,50.4,61.9
Location 1,-111.252,33.296,2303,1/6/20,0,38.6,51.7,64.8
Location 1,-111.252,33.296,2303,1/7/20,0,39.6,51.7,63.8
Location 1,-111.252,33.296,2303,1/8/20,0,38.8,52.4,66
Location 1,-111.252,33.296,2303,1/9/20,0,39.3,51.4,63.4
Location 1,-111.252,33.296,2303,1/10/20,0,41.6,49.8,58
Location 1,-111.252,33.296,2303,1/11/20,0,37.3,46.3,55.4
Location 1,-111.252,33.296,2303,1/12/20,0,35.6,46.9,58.2
Location 1,-111.252,33.296,2303,1/13/20,0,35.8,48.6,61.4
Location 1,-111.252,33.296,2303,1/14/20,0,37.5,50.6,63.8
Location 1,-111.252,33.296,2303,1/15/20,0,39.5,52.2,64.9
Location 1,-111.252,33.296,2303,1/16/20,0,43.5,54.3,65.1
Location 1,-111.252,33.296,2303,1/17/20,0,44.8,52.4,60
Location 1,-111.252,33.296,2303,1/18/20,0,40.5,51.2,62
Location 1,-111.252,33.296,2303,1/19/20,0,40.1,52.8,65.5
Location 1,-111.252,33.296,2303,1/20/20,0,43.9,56.6,69.3
Location 1,-111.252,33.296,2303,1/21/20,0.02,53.1,60.3,67.6
Location 1,-111.252,33.296,2303,1/22/20,0.13,51.1,52.4,53.8
Location 1,-111.252,33.296,2303,1/23/20,0,44.4,52.6,60.8
Location 1,-111.252,33.296,2303,1/24/20,0,43.5,54.5,65.5
Location 1,-111.252,33.296,2303,1/25/20,0,43.7,54.8,65.9
Location 1,-111.252,33.296,2303,1/26/20,0,44.3,55.2,66.1
Location 1,-111.252,33.296,2303,1/27/20,0,44.3,56.5,68.6
Location 1,-111.252,33.296,2303,1/28/20,0,44.9,55.8,66.6
Location 1,-111.252,33.296,2303,1/29/20,0,42.2,53.6,64.9
Location 1,-111.252,33.296,2303,1/30/20,0,41.4,50.6,59.7
Location 1,-111.252,33.296,2303,1/31/20,0,42.2,52.8,63.3
Location 1,-111.252,33.296,2303,2/1/20,0,39.6,53.2,66.8
Location 1,-111.252,33.296,2303,2/2/20,0,42.2,57.1,72
Location 1,-111.252,33.296,2303,2/3/20,0,46.1,59.7,73.2
Location 1,-111.252,33.296,2303,2/4/20,0,34.6,49.2,63.7
Location 1,-111.252,33.296,2303,2/5/20,0,30.7,40,49.3
Location 1,-111.252,33.296,2303,2/6/20,0,29.1,38.8,48.5
Location 1,-111.252,33.296,2303,2/7/20,0,31.7,44.3,56.9
Location 1,-111.252,33.296,2303,2/8/20,0,36.1,50.3,64.5
Location 1,-111.252,33.296,2303,2/9/20,0,39.2,54.2,69.3
Location 1,-111.252,33.296,2303,2/10/20,0,45.9,57.9,70
Location 1,-111.252,33.296,2303,2/11/20,0.41,45.4,56.4,67.4
Location 1,-111.252,33.296,2303,2/12/20,0,38.9,46.8,54.6
Location 1,-111.252,33.296,2303,2/13/20,0,37.9,48.6,59.4
Location 1,-111.252,33.296,2303,2/14/20,0,38.6,51,63.4
Location 1,-111.252,33.296,2303,2/15/20,0,43,55.2,67.4
Location 1,-111.252,33.296,2303,2/16/20,0,41.4,54.4,67.3
Location 1,-111.252,33.296,2303,2/17/20,0,41.4,55.7,70.1
Location 1,-111.252,33.296,2303,2/18/20,0,43.8,57.3,70.8
Location 1,-111.252,33.296,2303,2/19/20,0,46.6,59.7,72.8
Location 1,-111.252,33.296,2303,2/20/20,0,47.6,60.4,73.2
Location 1,-111.252,33.296,2303,2/21/20,0,46.8,61.2,75.5
Location 1,-111.252,33.296,2303,2/22/20,0.29,57.7,62.2,66.7
Location 1,-111.252,33.296,2303,2/23/20,1.11,48,55,62
Location 1,-111.252,33.296,2303,2/24/20,0,43.7,51.2,58.7
Location 1,-111.252,33.296,2303,2/25/20,0,42.7,54,65.4
Location 1,-111.252,33.296,2303,2/26/20,0,41.7,51.3,61
